butcher-ganger.webp	PERSON portrait: a Glow City street ganger of the Butchers — a desperate, dangerous punk in scavenged mismatched armor and gang colors, snarling, a cheap SMG slung across the chest, scars and cheap chrome. MOOD: grimy toxic-slum night lit by sickly green radiation glow and a flickering barrel fire, harsh and gritty.
aztechnology-driver-rigger.webp	PERSON portrait: an Aztechnology rigger wheelman, a datajack at the temple with a cable, glassy jacked-in stare, sleek dark corporate driving suit, an armored convoy truck looming behind. MOOD: cold corporate night, clean teal-and-steel rim light, precise and clinical.
jonathan-tung.webp	PERSON portrait: Jonathan Tung, a charismatic corporate PR "face" in a sharp tailored suit, a warm disarming smile that hides something deeply wrong behind the eyes, a relief-camp banner blurred behind. MOOD: polished warm indoor lighting, gold and cream, subtly unsettling.
special-agent-simon-juarez.webp	PERSON portrait: Special Agent Simon Juarez, a weary hard-bitten UCAS FBI agent in a rumpled suit and coat, tired haunted eyes, a badge on his belt, ten years of ugly work etched on his face. MOOD: muted overcast daylight, cold grey-blue, noir and world-weary.
fbi-sniper.webp	PERSON portrait: a UCAS FBI marksman prone on a rooftop, cybereyes with glinting magnification optics, cheek to a long Ranger Arms sniper rifle, utterly focused. MOOD: cold blue pre-dawn, city skyline behind, crisp and still, faint amber scope glow.
peo-shaman.webp	PERSON portrait: an insect shaman — a sinister magician in ritual garb blended with a white peace-enforcement uniform, chitinous insect-totem fetishes, an unsettling otherworldly calm. MOOD: dim ritual space lit by a sickly amber-green astral glow, eerie.
aztechnology-security-guard.webp	PERSON portrait: an Aztechnology corporate-security trooper in a helmet and light armor bearing the Aztechnology logo, an AK-97 assault rifle held ready, an arrogant hard-eyed stance. MOOD: harsh white floodlit night at a checkpoint, cold steel and warning-amber accents.
docwagon-courier.webp	PERSON portrait: a nervous DocWagon paid courier in a branded red-and-white jacket, hands half-raised in surrender, unarmed and unwilling, a refrigerated delivery case at their feet. MOOD: bright clean daylight, clinical DocWagon red and white, timid and ordinary.
peace-enforcement-officer.webp	PERSON portrait: a Hope Relief Camp peace-enforcement officer in a crisp white uniform and cap, baton and sidearm, standing at rigid attention with a subtly wrong insectile stillness behind the eyes. MOOD: flat bright daylight at the camp gate, clean white and pale blue, orderly and quietly menacing.
true-form-worker-ant.webp	CREATURE portrait: a Force-3 insect spirit worker ant in its TRUE form — a hunched chitinous ant-thing the size of a person, mandibles and segmented limbs, tending glistening pale cocoons, a faint dual-natured shimmer. MOOD: dim humid hive tunnel, warm amber-brown chitin, wet organic sheen, eerie.
true-form-soldier-ant.webp	CREATURE portrait: a Force-4 insect spirit soldier ant in its TRUE form — a chitin-armored horror with huge slashing mandibles and barbed forelimbs, built purely to kill, rearing aggressively. MOOD: dark hive interior lit by a cold red alarm glow on black-brown chitin, threatening and armored.
hive-queen.webp	CREATURE portrait (BOSS): the Hive Queen — a bloated four-meter hybrid of metahuman and ant, a swollen segmented abdomen with a human-like torso and a horrifying half-human, half-insect face, immense, the colony's monstrous mother enthroned in cocoons. MOOD: cavernous hive lair lit by a sickly bioluminescent amber-green, grand and horrific.
